Date,USD/CAD Close,USD/CAD High,USD/CAD Low
2000-01-26,1.438,1.4421,1.4361
2000-01-27,1.435,1.4397,1.4317
2000-01-28,1.4442,1.4517,1.4325
2000-01-31,1.4476,1.4523,1.444
2000-02-01,1.4468,1.4546,1.445
2000-02-02,1.4383,1.4548,1.4377
2000-02-03,1.4405,1.4438,1.4353
2000-02-04,1.4415,1.4477,1.4394
2000-02-07,1.4466,1.4474,1.4373
2000-02-08,1.4474,1.4497,1.4451
2000-02-09,1.4441,1.4475,1.4412
2000-02-10,1.448,1.4537,1.4437
2000-02-11,1.4509,1.4532,1.445
2000-02-14,1.4556,1.4568,1.4493
2000-02-15,1.4549,1.4597,1.4541
2000-02-16,1.4544,1.4587,1.4493
2000-02-17,1.452,1.4544,1.4511
2000-02-18,1.4498,1.4517,1.4475
2000-02-21,1.454,1.455,1.4482
2000-02-22,1.4635,1.4642,1.458
2000-02-23,1.462,1.467,1.461
2000-02-24,1.4548,1.4635,1.454
2000-02-25,1.4494,1.4559,1.4483
2000-02-28,1.4502,1.457,1.4475
2000-02-29,1.4506,1.4548,1.4481
2000-03-01,1.4483,1.4538,1.4433
2000-03-02,1.4567,1.4591,1.4464
2000-03-03,1.4534,1.4588,1.4498
2000-03-06,1.4527,1.4573,1.4488
2000-03-07,1.4541,1.4554,1.4512
2000-03-08,1.457,1.4619,1.4548
2000-03-09,1.4582,1.4588,1.4541
2000-03-10,1.4585,1.4598,1.455
2000-03-13,1.4615,1.4627,1.4569
2000-03-14,1.4649,1.4657,1.4598
2000-03-15,1.4679,1.4705,1.4626
2000-03-16,1.4749,1.4751,1.4557
2000-03-17,1.4713,1.4774,1.4708
2000-03-20,1.4704,1.4712,1.4682
2000-03-21,1.4685,1.4728,1.4655
2000-03-22,1.4697,1.4725,1.4669
2000-03-23,1.4684,1.4773,1.4682
2000-03-24,1.4636,1.4694,1.463
2000-03-27,1.4606,1.4635,1.457
2000-03-28,1.4528,1.458,1.452
2000-03-29,1.4572,1.4586,1.4518
2000-03-30,1.4544,1.4599,1.454
2000-03-31,1.4496,1.4575,1.4493
2000-04-03,1.4509,1.4551,1.448
2000-04-04,1.4532,1.4545,1.4476
2000-04-05,1.45,1.4568,1.4494
2000-04-06,1.4519,1.454,1.4487
2000-04-07,1.4567,1.4591,1.4523
2000-04-10,1.4614,1.4618,1.4565
2000-04-11,1.4633,1.465,1.4606
2000-04-12,1.4624,1.4665,1.4616
2000-04-13,1.4725,1.4733,1.4607
2000-04-14,1.4769,1.4782,1.4697
2000-04-17,1.4864,1.4891,1.4758
2000-04-18,1.4825,1.4898,1.4805
2000-04-19,1.4731,1.4815,1.4723
2000-04-20,1.4739,1.476,1.4713
2000-04-21,1.474,1.4755,1.473
2000-04-24,1.477,1.4777,1.4726
2000-04-25,1.4708,1.4774,1.4693
2000-04-26,1.4742,1.4768,1.4667
2000-04-27,1.4765,1.4848,1.4745
2000-04-28,1.4816,1.4827,1.4725
2000-05-01,1.4791,1.4825,1.4774
2000-05-02,1.4866,1.4877,1.4756
2000-05-03,1.4918,1.4932,1.4844
2000-05-04,1.4978,1.5001,1.4911
2000-05-05,1.491,1.4991,1.4895
2000-05-08,1.4919,1.4937,1.4881
2000-05-09,1.4914,1.498,1.4905
2000-05-10,1.4936,1.4983,1.4885
2000-05-11,1.4876,1.4964,1.4863
2000-05-12,1.4878,1.4901,1.485
2000-05-15,1.4862,1.4913,1.4852
2000-05-16,1.4873,1.4889,1.4831
2000-05-17,1.4978,1.4993,1.4889
2000-05-18,1.4979,1.507,1.4965
2000-05-19,1.4959,1.5028,1.493
2000-05-22,1.4977,1.4997,1.495
2000-05-23,1.5067,1.5076,1.4946
2000-05-24,1.5108,1.5122,1.504
2000-05-25,1.505,1.515,1.5041
2000-05-26,1.5027,1.5065,1.4986
2000-05-29,1.4995,1.5033,1.4985
2000-05-30,1.5072,1.5074,1.499
2000-05-31,1.4961,1.506,1.4957
2000-06-01,1.49,1.4966,1.4878
2000-06-02,1.4778,1.4924,1.4756
2000-06-05,1.4778,1.4791,1.473
2000-06-06,1.4756,1.4798,1.4737
2000-06-07,1.4788,1.4795,1.4737
2000-06-08,1.4784,1.4819,1.4751
2000-06-09,1.4752,1.4786,1.47
2000-06-12,1.4755,1.4766,1.4727
2000-06-13,1.4687,1.4732,1.4674
2000-06-14,1.4685,1.4718,1.4682
2000-06-15,1.4756,1.4778,1.4709
2000-06-16,1.4668,1.4746,1.4662
2000-06-19,1.4651,1.469,1.4623
2000-06-20,1.4711,1.4717,1.4655
2000-06-21,1.4735,1.4754,1.4707
2000-06-22,1.4766,1.4768,1.4717
2000-06-23,1.4832,1.4838,1.4745
2000-06-26,1.4832,1.49,1.4805
2000-06-27,1.4819,1.484,1.4801
2000-06-28,1.4796,1.4862,1.4781
2000-06-29,1.483,1.4832,1.4765
2000-06-30,1.4805,1.4848,1.4783
2000-07-03,1.4805,1.4809,1.4787
2000-07-04,1.485,1.4852,1.4797
2000-07-05,1.4878,1.4925,1.4847
2000-07-06,1.4845,1.4889,1.483
2000-07-07,1.4811,1.4863,1.4792
2000-07-10,1.4787,1.4927,1.4761
2000-07-11,1.4783,1.4811,1.4766
2000-07-12,1.4806,1.4817,1.4776
2000-07-13,1.4813,1.4832,1.4799
2000-07-14,1.4831,1.486,1.4802
2000-07-17,1.4814,1.4857,1.4803
2000-07-18,1.4755,1.4823,1.4751
2000-07-19,1.4752,1.4773,1.4726
2000-07-20,1.4732,1.48,1.4728
2000-07-21,1.4717,1.4749,1.4706
2000-07-24,1.4644,1.4724,1.4631
2000-07-25,1.4667,1.4699,1.4642
2000-07-26,1.4652,1.4694,1.4647
2000-07-27,1.472,1.4737,1.4643
2000-07-28,1.4766,1.4788,1.4716
2000-07-31,1.4869,1.4896,1.4776
2000-08-01,1.4891,1.4911,1.4858
2000-08-02,1.4808,1.4889,1.4799
2000-08-03,1.4846,1.4855,1.4787
2000-08-04,1.4902,1.4909,1.4839
2000-08-07,1.4874,1.4948,1.4863
2000-08-08,1.4884,1.4904,1.4852
2000-08-09,1.4835,1.4895,1.4822
2000-08-10,1.4818,1.4842,1.4792
