Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2001-05-17,0.8829,0.888,0.879
2001-05-18,0.8796,0.883,0.8756
2001-05-21,0.8769,0.882,0.874
2001-05-22,0.8652,0.8775,0.8626
2001-05-23,0.8552,0.8662,0.8548
2001-05-24,0.8566,0.8612,0.85
2001-05-25,0.8582,0.8625,0.8535
2001-05-28,0.8595,0.8615,0.858
2001-05-29,0.8561,0.861,0.8529
2001-05-30,0.8569,0.859,0.8535
2001-05-31,0.8562,0.8568,0.8444
2001-06-01,0.8476,0.8497,0.8433
2001-06-04,0.846,0.8538,0.8442
2001-06-05,0.8525,0.8535,0.842
2001-06-06,0.8478,0.857,0.8448
2001-06-07,0.8505,0.8516,0.8455
2001-06-08,0.8512,0.8517,0.846
2001-06-11,0.8438,0.854,0.8411
2001-06-12,0.852,0.8535,0.8414
2001-06-13,0.8531,0.8568,0.851
2001-06-14,0.8629,0.8635,0.8486
2001-06-15,0.8615,0.8672,0.86
2001-06-18,0.8611,0.8645,0.8575
2001-06-19,0.854,0.8612,0.8531
2001-06-20,0.8545,0.8557,0.8496
2001-06-21,0.8552,0.858,0.8515
2001-06-22,0.856,0.8576,0.851
2001-06-25,0.8605,0.8625,0.8565
2001-06-26,0.8633,0.865,0.8585
2001-06-27,0.8608,0.866,0.8588
2001-06-28,0.8443,0.8615,0.8435
2001-06-29,0.8494,0.8497,0.8435
2001-07-02,0.8463,0.8515,0.8435
2001-07-03,0.848,0.8505,0.8455
2001-07-04,0.846,0.8505,0.8435
2001-07-05,0.8365,0.848,0.8355
2001-07-06,0.8473,0.8477,0.8345
2001-07-09,0.8477,0.8507,0.844
2001-07-10,0.8548,0.8574,0.8485
2001-07-11,0.8594,0.8641,0.8535
2001-07-12,0.8535,0.859,0.8507
2001-07-13,0.8539,0.856,0.851
2001-07-16,0.8551,0.86,0.8535
2001-07-17,0.8589,0.8608,0.849
2001-07-18,0.8723,0.8737,0.857
2001-07-19,0.8715,0.8785,0.8679
2001-07-20,0.8715,0.8785,0.8703
2001-07-23,0.8687,0.8715,0.8654
2001-07-24,0.8751,0.8762,0.8685
2001-07-25,0.8803,0.8813,0.8715
2001-07-26,0.8782,0.8823,0.8748
2001-07-27,0.8763,0.8805,0.8724
2001-07-30,0.8749,0.8772,0.872
2001-07-31,0.8751,0.8782,0.8725
2001-08-01,0.8811,0.883,0.8755
2001-08-02,0.883,0.884,0.8785
2001-08-03,0.8842,0.8873,0.878
2001-08-06,0.8818,0.883,0.8785
2001-08-07,0.8771,0.8815,0.875
2001-08-08,0.8806,0.8807,0.8735
2001-08-09,0.8925,0.8941,0.8805
2001-08-10,0.8936,0.8959,0.891
2001-08-13,0.8977,0.9007,0.8925
2001-08-14,0.9027,0.9035,0.8935
2001-08-15,0.9125,0.914,0.902
2001-08-16,0.9142,0.92,0.9093
2001-08-17,0.9174,0.9179,0.91
2001-08-20,0.9137,0.92,0.911
2001-08-21,0.913,0.9175,0.9078
2001-08-22,0.9146,0.924,0.9135
2001-08-23,0.9154,0.9168,0.91
2001-08-24,0.913,0.9165,0.9079
2001-08-27,0.9116,0.9124,0.908
2001-08-28,0.9111,0.9126,0.9024
2001-08-29,0.9104,0.915,0.9085
2001-08-30,0.9173,0.918,0.906
2001-08-31,0.9097,0.92,0.9064
2001-09-03,0.9077,0.9105,0.9059
2001-09-04,0.8858,0.908,0.8847
2001-09-05,0.8864,0.891,0.8855
2001-09-06,0.8947,0.8961,0.8825
2001-09-07,0.9053,0.9066,0.893
