Date,GBP/JPY Close,GBP/JPY High,GBP/JPY Low
2013-10-25,157.52,157.96,157.063
2013-10-28,157.76,158.31,157.494
2013-10-29,157.44,157.71,156.7
2013-10-30,158.03,158.12,157.267
2013-10-31,157.668,157.99,157.206
2013-11-01,157.267,157.85,156.747
2013-11-04,157.44,157.68,157.01
2013-11-05,158.14,158.26,156.58
2013-11-06,158.719,159,157.88
2013-11-07,157.354,159.276,157.244
2013-11-08,158.698,158.76,157.456
2013-11-11,158.59,158.83,158.266
2013-11-12,158.45,159.24,157.97
2013-11-13,159.281,159.332,157.912
2013-11-14,160.625,160.92,159.02
2013-11-15,161.442,161.67,160.61
2013-11-18,160.867,161.77,160.648
2013-11-19,161.489,161.62,160.339
2013-11-20,160.94,161.72,160.81
2013-11-21,163.44,163.53,160.98
2013-11-22,164.312,164.35,163.47
2013-11-25,163.88,165.285,163.754
2013-11-26,164.143,164.382,163.607
2013-11-27,166.222,166.451,163.947
2013-11-28,167.05,167.32,165.924
2013-11-29,167.651,167.9,166.78
2013-12-02,168.441,168.795,167.675
2013-12-03,167.721,169.15,167.254
2013-12-04,167.493,168.39,166.81
2013-12-05,166.13,167.78,165.789
2013-12-06,168.08,168.27,165.95
2013-12-09,169.683,169.71,168.08
2013-12-10,169.014,170.07,168.64
2013-12-11,167.86,169.36,167.45
2013-12-12,168.835,168.925,167.59
2013-12-13,167.94,169.82,167.647
2013-12-16,167.93,168.44,167.31
2013-12-17,166.942,168.2,166.497
2013-12-18,170.138,170.37,166.84
2013-12-19,170.59,170.845,169.87
2013-12-20,170.027,171.07,169.81
2013-12-23,170.18,170.38,169.691
2013-12-24,170.607,170.83,170.05
2013-12-25,170.17,170.844,169.91
2013-12-26,171.94,172.193,170.71
2013-12-27,173.138,173.948,171.76
2013-12-30,173.432,173.854,173.015
2013-12-31,174.369,174.53,172.74
2014-01-01,174.19,174.22,174.19
2014-01-02,172.03,174.85,171.8
2014-01-03,171.917,172.52,171.01
2014-01-06,170.916,172.23,170.326
2014-01-07,171.47,171.71,170.76
2014-01-08,172.37,172.84,171.425
2014-01-09,172.64,173.13,172.12
2014-01-10,171.548,173.028,171.21
2014-01-13,168.651,171.63,168.277
2014-01-14,171.288,171.38,168.79
2014-01-15,171.165,171.59,170.4
2014-01-16,170.581,171.8,170.136
2014-01-17,171.05,171.874,170.088
2014-01-20,170.971,171.49,170.26
2014-01-21,171.838,172.369,170.975
2014-01-22,173.093,173.23,171.26
2014-01-23,171.584,173.646,171.138
2014-01-24,168.667,172.32,168.51
2014-01-27,170.287,170.535,167.88
2014-01-28,170.541,171.311,169.877
2014-01-29,169.152,171.46,168.65
2014-01-30,169.258,169.78,168.109
2014-01-31,167.892,169.747,167.508
2014-02-03,164.78,168.215,164.236
2014-02-04,165.95,165.99,163.821
2014-02-05,165.328,166.18,163.913
2014-02-06,166.681,166.825,165.01
2014-02-07,167.876,168.08,166.112
2014-02-10,167.651,168.441,167.16
2014-02-11,168.815,169.085,167.46
2014-02-12,170.016,170.23,168.266
2014-02-13,170.32,170.381,169.163
2014-02-14,170.51,170.605,169.08
2014-02-17,170.159,171.07,169.849
2014-02-18,170.69,171.879,170.19
2014-02-19,170.645,171.19,169.537
2014-02-20,170.394,170.794,169.19
2014-02-21,170.636,171.75,170.072
2014-02-24,170.705,170.87,169.797
2014-02-25,170.22,171.086,170.04
2014-02-26,170.607,170.945,169.877
2014-02-27,170.289,170.825,168.985
2014-02-28,170.451,171.202,169.315
2014-03-03,168.831,169.978,168.794
2014-03-04,170.473,170.56,168.884
2014-03-05,171.017,171.391,170.063
2014-03-06,172.467,172.835,170.964
2014-03-07,172.707,173.583,171.92
2014-03-10,171.782,172.87,171.4
2014-03-11,171.11,172.13,170.857
2014-03-12,170.592,171.45,170.087
2014-03-13,168.837,171.64,168.679
2014-03-14,168.526,169.36,167.89
2014-03-17,169.19,169.604,168.433
2014-03-18,168.21,169.596,167.692
2014-03-19,169.456,169.682,167.987
2014-03-20,168.949,169.72,168.637
2014-03-21,168.414,169.12,168.046
2014-03-24,168.731,169.439,168.258
2014-03-25,169.07,169.29,168.303
2014-03-26,169.284,169.68,168.8
2014-03-27,169.67,170.325,168.577
2014-03-28,171.07,171.315,169.482
2014-03-31,172.097,172.14,170.9
2014-04-01,172.45,172.52,171.661
2014-04-02,172.519,173,172.2
2014-04-03,172.47,173.16,172.085
2014-04-04,171.17,172.52,171.005
2014-04-07,171.3,171.6,170.603
2014-04-08,170.25,171.559,169.92
2014-04-09,171.21,171.228,170.404
2014-04-10,170.288,171.63,170.004
2014-04-11,170.091,170.917,169.427
2014-04-14,170.227,170.53,169.535
2014-04-15,170.264,170.69,169.439
2014-04-16,171.75,172.105,170.224
2014-04-17,172.03,172.11,171.369
2014-04-18,171.89,172.187,171.731
2014-04-21,172.358,172.5,171.936
2014-04-22,172.624,172.77,171.94
2014-04-23,171.866,172.79,171.284
2014-04-24,171.896,172.188,171.399
2014-04-25,171.616,172.28,171.336
2014-04-28,172.322,172.58,171.18
2014-04-29,172.618,172.911,172.163
2014-04-30,172.42,172.72,171.8
