Date,GBP/CHF Close,GBP/CHF High,GBP/CHF Low
2005-06-09,2.2847,2.2926,2.2837
2005-06-10,2.2984,2.3025,2.2818
2005-06-13,2.297,2.3039,2.2964
2005-06-14,2.3076,2.3093,2.2892
2005-06-15,2.3157,2.3189,2.3049
2005-06-16,2.3185,2.3223,2.3126
2005-06-17,2.301,2.3213,2.3005
2005-06-20,2.3178,2.322,2.3011
2005-06-21,2.316,2.3232,2.3139
2005-06-22,2.3171,2.3201,2.3032
2005-06-23,2.3229,2.3295,2.3133
2005-06-24,2.3226,2.3298,2.3188
2005-06-27,2.3198,2.3258,2.3142
2005-06-28,2.324,2.3267,2.3148
2005-06-29,2.313,2.3308,2.3078
2005-06-30,2.2945,2.3191,2.2936
2005-07-01,2.295,2.302,2.2828
2005-07-04,2.292,2.295,2.2827
2005-07-05,2.2903,2.2965,2.2864
2005-07-06,2.2879,2.2945,2.2854
2005-07-07,2.2658,2.285,2.2432
2005-07-08,2.2574,2.2679,2.2566
2005-07-11,2.2632,2.2653,2.2541
2005-07-12,2.259,2.2657,2.253
2005-07-13,2.2685,2.2688,2.2531
2005-07-14,2.2647,2.2785,2.2622
2005-07-15,2.2681,2.2758,2.2619
2005-07-18,2.2639,2.273,2.2567
2005-07-19,2.2606,2.2754,2.2599
2005-07-20,2.2378,2.2625,2.2348
2005-07-21,2.2515,2.2544,2.2353
2005-07-22,2.2519,2.2565,2.2451
2005-07-25,2.2625,2.2666,2.2496
2005-07-26,2.2577,2.2657,2.2551
2005-07-27,2.2607,2.2663,2.2553
2005-07-28,2.2585,2.2653,2.2561
2005-07-29,2.264,2.2665,2.2539
2005-08-01,2.2595,2.2637,2.2515
2005-08-02,2.262,2.2635,2.2542
2005-08-03,2.2437,2.2639,2.2423
2005-08-04,2.2397,2.2478,2.2381
2005-08-05,2.2456,2.2493,2.236
2005-08-08,2.2512,2.2556,2.2427
2005-08-09,2.2492,2.2529,2.2427
2005-08-10,2.257,2.2612,2.2458
2005-08-11,2.256,2.2596,2.2529
2005-08-12,2.264,2.2687,2.2529
2005-08-15,2.2729,2.2738,2.2604
2005-08-16,2.271,2.2801,2.2684
2005-08-17,2.2804,2.2821,2.2699
